Challenge Date,IP Address,User Agent,Country,Challenge Type
Mon Mar 24 20:07:26 UTC 2025,41.114.31.7,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 Edg/134.0.0.0",South Africa,EMAIL_PIN_CHALLENGE
Mon Mar 24 20:07:26 UTC 2025,41.114.31.7,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 Edg/134.0.0.0",South Africa,EMAIL_PIN_CHALLENGE
Mon Mar 24 20:08:05 UTC 2025,41.114.31.7,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 Edg/134.0.0.0",South Africa,EMAIL_PIN_CHALLENGE
Mon Mar 24 20:09:09 UTC 2025,41.114.31.7,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 Edg/134.0.0.0",South Africa,EMAIL_PIN_CHALLENGE
Mon May 12 06:29:35 UTC 2025,105.245.175.142,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0",South Africa,SSP_BLOCKING_CHALLENGE
Mon May 12 06:30:01 UTC 2025,102.32.196.28,"Mozilla/5.0 (Linux; Android 12; CPH2471 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/136.0.7103.60 Mobile Safari/537.36 com.linkedin.android/197600 [LinkedInApp]/2.146.67",Unknown,SSP_BLOCKING_CHALLENGE
Mon May 12 06:30:08 UTC 2025,102.32.196.28,"Mozilla/5.0 (Linux; Android 12; CPH2471 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/136.0.7103.60 Mobile Safari/537.36 com.linkedin.android/197600 [LinkedInApp]/2.146.67",Unknown,LINKEDIN_APP_CHALLENGE
Mon May 12 06:30:09 UTC 2025,105.245.175.142,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0",South Africa,SSP_BLOCKING_CHALLENGE
Tue May 20 08:41:46 UTC 2025,105.245.168.12,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0",South Africa,SSP_BLOCKING_CHALLENGE
Fri Jun 27 07:09:59 UTC 2025,2c0f:f528:49:55ab:cdc9:191a:8ba7:5097,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36 Edg/137.0.0.0",South Africa,SSP_BLOCKING_CHALLENGE
Mon Jul 14 12:51:05 UTC 2025,102.32.178.152,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0",Unknown,SSP_BLOCKING_CHALLENGE
Tue Jul 15 11:20:24 UTC 2025,2c0f:f528:48:4b67:18dc:c24c:7baa:42d0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0",South Africa,SSP_BLOCKING_CHALLENGE
Tue Jul 15 11:20:25 UTC 2025,102.32.178.152,"Mozilla/5.0 (Linux; Android 12; CPH2471 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/138.0.7204.67 Mobile Safari/537.36 com.linkedin.android/199800 [LinkedInApp]/2.168.97",Unknown,SSP_BLOCKING_CHALLENGE
Tue Jul 15 11:20:39 UTC 2025,102.32.178.152,"Mozilla/5.0 (Linux; Android 12; CPH2471 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/138.0.7204.67 Mobile Safari/537.36 com.linkedin.android/199800 [LinkedInApp]/2.168.97",Unknown,LINKEDIN_APP_CHALLENGE
Tue Jul 15 11:20:41 UTC 2025,2c0f:f528:48:4b67:18dc:c24c:7baa:42d0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0",South Africa,SSP_BLOCKING_CHALLENGE
Tue Jul 15 11:21:32 UTC 2025,2c0f:f528:48:4b67:18dc:c24c:7baa:42d0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0",South Africa,PIN_CHALLENGE
Tue Jul 15 11:22:01 UTC 2025,2c0f:f528:48:4b67:18dc:c24c:7baa:42d0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0",South Africa,PIN_CHALLENGE
Tue Jul 15 11:23:32 UTC 2025,102.32.178.152,LIAuthLibrary:0.0.3 com.linkedin.android:4.1.1090 OPPO_CPH2471:android_12,Unknown,TWO_STEP_VERIFICATION
