Date,Type,Link
2026-04-12 11:28:24,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7448855751453810688
2026-04-09 10:26:26,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7447937428868390912
2026-04-04 17:30:22,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7445716849176236033
2026-04-04 17:18:00,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7439926786852904960
2026-04-03 12:10:31,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7445741962994954240
2026-04-03 08:44:10,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7445413493471879168
2026-04-03 08:40:35,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7445734254229213184
2026-04-01 18:28:40,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7442853731307790336
2026-04-01 15:04:45,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7445107756547743744
2026-03-31 20:31:06,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7444683563897233408
2026-03-31 12:46:02,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A9041544-7444270112695779328
2026-03-29 20:42:05,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7442186493693005826
2026-03-29 20:41:26,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7442489661446451201
2026-03-28 18:26:01,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7443637089616920576
2026-03-27 19:50:18,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7435774055603085312
2026-03-27 19:48:51,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7434880870794252289
2026-03-27 17:10:08,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7434492501509496832
2026-03-27 16:09:35,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7443272232648454144
2026-03-27 06:00:25,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7443081029625503745
2026-03-25 13:13:52,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7442548832309022720
2026-03-24 15:30:59,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7441069516450717696
2026-03-23 13:53:11,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7441803989911867393
2026-03-17 22:05:22,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7430139836365344768
2026-03-17 14:14:12,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7439574488817762305
2026-03-17 14:12:10,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7439622361538011137
2026-03-14 06:34:51,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7438251577569730562
2026-03-06 05:58:56,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7435286965585039360
2026-03-03 12:00:56,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7434513186587873280
2026-03-02 18:51:31,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7433181161561964544
2026-03-02 12:09:44,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7434196392321044480
2026-02-26 19:56:52,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7424384256556040192
2026-02-26 19:56:46,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7424379922669998080
2026-02-24 16:37:59,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7431695231827378176
2026-02-24 16:18:52,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7431991209771847681
2026-02-24 16:18:22,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7431953664241672192
2026-02-24 16:18:16,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7431991914070999041
